address,addressPointId,apn,apnStatus,leafTractNumber,allContainingTractIds,streetNameNormalized,neighborhood,village,matchStatus,sourceIds
72 KYLE CT,52063088,,NOT_IN_REPOSITORY - request APN from County; do not infer,15616,LH-TRACT-15616;LH-TRACT-15615,KYLE CT,Shady Lane,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
1 COPIOUS LN,87030647,,NOT_IN_REPOSITORY - request APN from County; do not infer,16354,LH-TRACT-16354;LH-TRACT-16271,COPIOUS LN,Sedona 2,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
7 SAM ST,92697684,,NOT_IN_REPOSITORY - request APN from County; do not infer,16391,LH-TRACT-16391;LH-TRACT-15986,SAM ST,Arboledo,Covenant Hills,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
4 TRANQUILITY PL,52005502,,NOT_IN_REPOSITORY - request APN from County; do not infer,16505,LH-TRACT-16505;LH-TRACT-15987,TRANQUILITY PL,Meriden 2,Covenant Hills,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
4 BRYANT CT,87029565,,NOT_IN_REPOSITORY - request APN from County; do not infer,16246,LH-TRACT-16246;LH-TRACT-16235,BRYANT CT,Tamarind 2,Echo Ridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
5 EARLYWOOD,52062915,,NOT_IN_REPOSITORY - request APN from County; do not infer,15627,LH-TRACT-15627;LH-TRACT-15615,EARLYWOOD,Maplewood 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
33 DOWNING ST,52065805,,NOT_IN_REPOSITORY - request APN from County; do not infer,16237,LH-TRACT-16237;LH-TRACT-16234,DOWNING ST,Lexington 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
18 CONSERVATORY DR,87030919,,NOT_IN_REPOSITORY - request APN from County; do not infer,16352,LH-TRACT-16352;LH-TRACT-16271,CONSERVATORY DR,Arborage 2,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
5 SABLEWOOD CIR,92794689,,NOT_IN_REPOSITORY - request APN from County; do not infer,16341,LH-TRACT-16341,SABLEWOOD CIR,Branches,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
9 BROOKWOOD ST,87033584,,NOT_IN_REPOSITORY - request APN from County; do not infer,16103,LH-TRACT-16103;LH-TRACT-16155,BROOKWOOD ST,Canopy Lane 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
14 PLEASANTON LN,52062676,,NOT_IN_REPOSITORY - request APN from County; do not infer,15623,LH-TRACT-15623;LH-TRACT-15615,PLEASANTON LN,Fairfield 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
6 CARLISLE CT,52065018,,NOT_IN_REPOSITORY - request APN from County; do not infer,16118,LH-TRACT-16118;LH-TRACT-16156,CARLISLE CT,Sterling Glen 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 TUDOR WAY,52065464,,NOT_IN_REPOSITORY - request APN from County; do not infer,16236,LH-TRACT-16236;LH-TRACT-16234,TUDOR WAY,Tattershall 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
72 VALMONT WAY,87085837,,NOT_IN_REPOSITORY - request APN from County; do not infer,16341,LH-TRACT-16341,VALMONT WAY,Valmont,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
26 HALF MOON TRL,87081332,,NOT_IN_REPOSITORY - request APN from County; do not infer,15630,LH-TRACT-15630;LH-TRACT-15615,HALF MOON TRL,The Trails,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 DRACKERT LN,87031098,,NOT_IN_REPOSITORY - request APN from County; do not infer,16392,LH-TRACT-16392;LH-TRACT-15986,DRACKERT LN,Amarante 2,Covenant Hills,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
81 WILDFLOWER PL,91801434,,NOT_IN_REPOSITORY - request APN from County; do not infer,16025,LH-TRACT-16025,WILDFLOWER PL,Charleston Place,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 UNIVERSITY AVE,52065511,,NOT_IN_REPOSITORY - request APN from County; do not infer,16250,LH-TRACT-16250;LH-TRACT-16203,UNIVERSITY AVE,Chesapeake 1,Wycliffe,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
3 WILDFLOWER PL,91801411,,NOT_IN_REPOSITORY - request APN from County; do not infer,16025,LH-TRACT-16025,WILDFLOWER PL,Charleston Place,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
4 STONE TURRET CT,52063782,,NOT_IN_REPOSITORY - request APN from County; do not infer,15888,LH-TRACT-15888;LH-TRACT-15884,STONE TURRET CT,The Gables 1,Township,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
117 CHADRON CIR,87085063,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
35 DAWNWOOD,52062892,,NOT_IN_REPOSITORY - request APN from County; do not infer,15627,LH-TRACT-15627;LH-TRACT-15615,DAWNWOOD,Maplewood 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
17 FAIRHAVEN RD,87030618,,NOT_IN_REPOSITORY - request APN from County; do not infer,16347,LH-TRACT-16347;LH-TRACT-16341,FAIRHAVEN RD,Walden Park 1,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
61 VALMONT WAY,87085860,,NOT_IN_REPOSITORY - request APN from County; do not infer,16341,LH-TRACT-16341,VALMONT WAY,Valmont,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 SNAPDRAGON ST,52065118,,NOT_IN_REPOSITORY - request APN from County; do not infer,16105,LH-TRACT-16105;LH-TRACT-16155,SNAPDRAGON ST,Savannah,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
5 MAITLAND RD,52065557,,NOT_IN_REPOSITORY - request APN from County; do not infer,16250,LH-TRACT-16250;LH-TRACT-16203,MAITLAND RD,Chesapeake 1,Wycliffe,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
67 CHADRON CIR,87085086,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
18 ABYSSINIAN WAY,87029645,,NOT_IN_REPOSITORY - request APN from County; do not infer,16244,LH-TRACT-16244;LH-TRACT-16235,ABYSSINIAN WAY,Lexington 3,Echo Ridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
9 PISANO ST,92698113,,NOT_IN_REPOSITORY - request APN from County; do not infer,15989,LH-TRACT-15989,PISANO ST,Capistrano,Covenant Hills,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
26 SACHEM WAY,87029796,,NOT_IN_REPOSITORY - request APN from County; do not infer,16116,LH-TRACT-16116;LH-TRACT-16025,SACHEM WAY,Weatherhaven,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
63 SKYWOOD ST,52063736,,NOT_IN_REPOSITORY - request APN from County; do not infer,15631,LH-TRACT-15631;LH-TRACT-15615,SKYWOOD ST,Sarasota 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
1 GALORA LN,52005443,,NOT_IN_REPOSITORY - request APN from County; do not infer,16354,LH-TRACT-16354;LH-TRACT-16271,GALORA LN,Sedona 2,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
5 CITRUS LN,87030808,,NOT_IN_REPOSITORY - request APN from County; do not infer,16355,LH-TRACT-16355;LH-TRACT-16271,CITRUS LN,Mosaic 2,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
31 VALMONT WAY,87085868,,NOT_IN_REPOSITORY - request APN from County; do not infer,16341,LH-TRACT-16341,VALMONT WAY,Valmont,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
15 GARDENIA ST,87030331,,NOT_IN_REPOSITORY - request APN from County; do not infer,16346,LH-TRACT-16346;LH-TRACT-16341,GARDENIA ST,Evergreen 1,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
3 WINSLOW ST,52062622,,NOT_IN_REPOSITORY - request APN from County; do not infer,15625,LH-TRACT-15625;LH-TRACT-15615,WINSLOW ST,Wyeth 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
23 SACHEM WAY,52065345,,NOT_IN_REPOSITORY - request APN from County; do not infer,16116,LH-TRACT-16116;LH-TRACT-16025,SACHEM WAY,Weatherhaven,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
4 POMEGRANATE ST,52065321,,NOT_IN_REPOSITORY - request APN from County; do not infer,16117,LH-TRACT-16117;LH-TRACT-16025,POMEGRANATE ST,Canopy Lane 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
19 AGAVE CT,87080930,,NOT_IN_REPOSITORY - request APN from County; do not infer,16157,LH-TRACT-16157,AGAVE CT,Berkshire,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
6 SKYWOOD ST,52063712,,NOT_IN_REPOSITORY - request APN from County; do not infer,15631,LH-TRACT-15631;LH-TRACT-15615,SKYWOOD ST,Sarasota 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
94 DAWNWOOD,52063016,,NOT_IN_REPOSITORY - request APN from County; do not infer,15628,LH-TRACT-15628;LH-TRACT-15615,DAWNWOOD,Whispering Creek 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
1 COTTAGE HILL RD,52063916,,NOT_IN_REPOSITORY - request APN from County; do not infer,15903,LH-TRACT-15903;LH-TRACT-15813,COTTAGE HILL RD,Chimney Corners 2,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
10 SEA GRAPE RD,87030408,,NOT_IN_REPOSITORY - request APN from County; do not infer,16351,LH-TRACT-16351;LH-TRACT-16271,SEA GRAPE RD,Evergreen 2,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
26 DRACKERT LN,92697614,,NOT_IN_REPOSITORY - request APN from County; do not infer,16392,LH-TRACT-16392;LH-TRACT-15986,DRACKERT LN,Amarante 2,Covenant Hills,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
12 MOLLY LOOP,92904117,,NOT_IN_REPOSITORY - request APN from County; do not infer,16025,LH-TRACT-16025,MOLLY LOOP,Christopher Homes,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
28 AMESBURY CT,87081212,,NOT_IN_REPOSITORY - request APN from County; do not infer,15615,LH-TRACT-15615,AMESBURY CT,Sycamore Grove,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
38 THREE VINES CT,87080818,,NOT_IN_REPOSITORY - request APN from County; do not infer,15885,LH-TRACT-15885;LH-TRACT-15884,THREE VINES CT,Three Vines,Township,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
112 SANSOVINO,87084233,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
3 AMESBURY CT,87081258,,NOT_IN_REPOSITORY - request APN from County; do not infer,15615,LH-TRACT-15615,AMESBURY CT,Sycamore Grove,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
99 CHADRON CIR,87085071,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
93 CHADRON CIR,87085074,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
