address,addressPointId,allContainingTractIds,leafTractId,matchStatus,neighborhood,sourceIds,streetNameNormalized,village
15 HEARTHSIDE RD    ,52063851,LH-TRACT-15906;LH-TRACT-15813,LH-TRACT-15906,exact_directory_match,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,HEARTHSIDE RD,Flintridge
24 HEARTHSIDE RD    ,52063857,LH-TRACT-15906;LH-TRACT-15813,LH-TRACT-15906,exact_directory_match,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,HEARTHSIDE RD,Flintridge
18 HEARTHSIDE RD    ,52063860,LH-TRACT-15906;LH-TRACT-15813,LH-TRACT-15906,exact_directory_match,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,HEARTHSIDE RD,Flintridge
14 HEARTHSIDE RD    ,52063862,LH-TRACT-15906;LH-TRACT-15813,LH-TRACT-15906,exact_directory_match,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,HEARTHSIDE RD,Flintridge
6 HEARTHSIDE RD    ,52063865,LH-TRACT-15906;LH-TRACT-15813,LH-TRACT-15906,exact_directory_match,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,HEARTHSIDE RD,Flintridge
39 CHIMNEY LN    ,52063903,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
35 CHIMNEY LN    ,52063905,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
23 CHIMNEY LN    ,52063911,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
11 CHIMNEY LN    ,52063914,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
5 CHIMNEY LN    ,52063923,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
1 CHIMNEY LN    ,52063925,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
12 CHIMNEY LN    ,52063931,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
18 CHIMNEY LN    ,52063934,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
22 CHIMNEY LN    ,52063936,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
24 CHIMNEY LN    ,52063937,LH-TRACT-15903;LH-TRACT-15813,LH-TRACT-15903,exact_directory_match,Chimney Corners 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHIMNEY LN,Flintridge
9 RESTON WAY    ,52063971,LH-TRACT-15902;LH-TRACT-15813,LH-TRACT-15902,exact_directory_match,Reston 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,RESTON WAY,Flintridge
17 RESTON WAY    ,52063974,LH-TRACT-15901;LH-TRACT-15813,LH-TRACT-15901,exact_directory_match,Reston 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,RESTON WAY,Flintridge
