topic,pmid,year,journal,title,url
dipsite,12011490,2002,Toxicological sciences : an official jou,Measurement of arsenic bioavailability in soil using a primate model.,https://pubmed.ncbi.nlm.nih.gov/12011490/
arsenic-bioavail,34706629,2022,Journal of toxicology and environmental ,Interconnected soil iron and arsenic speciation effects on arsenic bioaccessibility and bioavailability: a scoping review.,https://pubmed.ncbi.nlm.nih.gov/34706629/
arsenic-bioavail,38493633,2024,Journal of hazardous materials,"Arsenic, cadmium, lead, antimony bioaccessibility and relative bioavailability in legacy gold mining waste.",https://pubmed.ncbi.nlm.nih.gov/38493633/
arsenic-bioavail,21749965,2011,Environmental health perspectives,Relative bioavailability and bioaccessibility and speciation of arsenic in contaminated soils.,https://pubmed.ncbi.nlm.nih.gov/21749965/
arsenic-bioavail,29336680,2018,Journal of toxicology and environmental ,Relating soil geochemical properties to arsenic bioaccessibility through hierarchical modeling.,https://pubmed.ncbi.nlm.nih.gov/29336680/
arsenic-bladder,17159272,2006,International journal of environmental r,Inorganic arsenic in drinking water and bladder cancer: a meta-analysis for dose-response assessment.,https://pubmed.ncbi.nlm.nih.gov/17159272/
arsenic-bladder,24007431,2013,Journal of environmental science and hea,Bladder cancer and arsenic through drinking water: a systematic review of epidemiologic evidence.,https://pubmed.ncbi.nlm.nih.gov/24007431/
arsenic-bladder,18288323,2008,Environmental health perspectives,Arsenic in drinking-water and risk for cancer in Denmark.,https://pubmed.ncbi.nlm.nih.gov/18288323/
arsenic-bladder,35570949,2022,Frontiers in public health,Arsenic in Drinking Water and Incidences of Leukemia and Lymphoma: Implication for Its Dual Effects in Carcinogenicity.,https://pubmed.ncbi.nlm.nih.gov/35570949/
arsenic-sarcoma,28722978,2026,,Skin Cancer.,https://pubmed.ncbi.nlm.nih.gov/28722978/
arsenic-sarcoma,9344316,1997,Seminars in oncology,The epidemiology of soft tissue sarcoma.,https://pubmed.ncbi.nlm.nih.gov/9344316/
arsenic-sarcoma,9498903,1997,Cancer causes & control : CCC,Pesticides and cancer.,https://pubmed.ncbi.nlm.nih.gov/9498903/
arsenic-sarcoma,39456132,2021,Report on carcinogens : carcinogen profi,15th Report on Carcinogens.,https://pubmed.ncbi.nlm.nih.gov/39456132/
msc-origin,31016597,2019,Advances in experimental medicine and bi,Sarcoma Stem Cell Heterogeneity.,https://pubmed.ncbi.nlm.nih.gov/31016597/
msc-origin,24294922,2014,Current stem cell research & therapy,Ewing's sarcoma cancer stem cell targeted therapy.,https://pubmed.ncbi.nlm.nih.gov/24294922/
msc-origin,20953407,2011,Sarcoma,Mesenchymal Stem Cells and the Origin of Ewing's Sarcoma.,https://pubmed.ncbi.nlm.nih.gov/20953407/
msc-origin,34341072,2021,Cancer research,Unraveling Ewing Sarcoma Tumorigenesis Originating from Patient-Derived Mesenchymal Stem Cells.,https://pubmed.ncbi.nlm.nih.gov/34341072/
