county,ranch_or_vat_name,year_listed
Columbia,Bonnett Lake,1928
Columbia,Box,1928
Columbia,Brown & Martin,1928
Columbia,"Brown, I.J.",1928
Columbia,Caldwell,1928
Columbia,Chastein,1928
Columbia,Christie,1928
Columbia,Coleman,1928
Columbia,Columbia,1928
Columbia,Cook,1928
Columbia,Criswell,1928
Columbia,Dennard,1928
Columbia,Dicks,1928
Columbia,Ellisville,1928
Columbia,Ferguson,1928
Columbia,Ft. White,1928
Columbia,Gordon,1928
Columbia,Greenfield,1928
Columbia,Hampton,1928
Columbia,Harding,1928
Columbia,Holland,1928
Columbia,Lamb,1928
Columbia,Lulu,1928
Columbia,Maxville,1928
Columbia,McCormick,1928
Columbia,Melton,1928
Columbia,Mikesville,1928
Columbia,Moore,1928
Columbia,Niblack,1928
Columbia,Norris,1928
Columbia,Park View,1928
Columbia,Pine Level,1928
Columbia,Raulerson,1928
Columbia,Rivers,1928
Columbia,Sandlin,1928
Columbia,Smith Still,1928
Columbia,Socrum,1928
Columbia,Southern Railway,1928
Columbia,Spradley,1928
Columbia,Springville,1928
Columbia,Summerall,1928
Columbia,Suwannee Valley,1928
Columbia,Tompkins,1928
Columbia,Tyre Hancock,1928
Columbia,Union Hall,1928
Columbia,Watkins,1928
Columbia,Wheeler,1928
Columbia,Winfield,1928
Desoto,Arcadia Livestock Market,unknown date
Desoto,Atlantic Gulf Communities,unknown date
Desoto,Barthol Branch,1934
Desoto,"Berge, Freeman",1916
Desoto,Brannon,1934
Desoto,Brownsville,1934
Desoto,Bunker,1934
Desoto,Buzzard Roost,1934
Desoto,C H & N,1934
Desoto,Carlton,1934
Desoto,Coon Prairie,1934
Desoto,"Cowart, R. L.",1916
Desoto,"Crews, Bob",1916
Desoto,Cubitis,1934
Desoto,Eagle Island,1934
Desoto,Fort Ogden,1934
Desoto,Fort Winder,1934
Desoto,Gator Pen,1934
Desoto,Goose Egg,1934
Desoto,Green Head,1934
Desoto,Hickory Ford,1934
Desoto,"Homeyer, M. V.",1916
Desoto,Hope Island,1934
Desoto,Johnson,1934
Desoto,Lake Pen,1934
Desoto,Long Point,1934
Desoto,Mercer,1934
Desoto,Mizell,1934
Desoto,Nelson,1934
Desoto,Nocate,1934
Desoto,Owens,1934
Desoto,Parker Bros.,1916
Desoto,Pine Island,1934
Desoto,"Platt, W. H.",1934
Desoto,Scrap Pen,1934
Desoto,Shelfer,1934
Desoto,Smith,1934
Desoto,Sunnyside,1934
Desoto,Z Ranch,1934
Dixie,Barber Pasture,1927
Dixie,"Barber, John",1927
Dixie,"Barber, Martin",1927
Dixie,"Barber, Nathan N.",1927
Dixie,Bellott,1927
Dixie,Bodiford,1927
Dixie,Buoyer Still,1927
Dixie,Burnt Negro,1927
Dixie,Camp No. 2,1927
Dixie,Cason,1927
Dixie,Cross City,1927
Dixie,Dees Hog Camp,1927
Dixie,Eugene,1927
Dixie,Fishbone,1927
Dixie,Fletcher,1927
Dixie,"Futch, R.H.",1927
Dixie,Hines,1927
Dixie,Hines Water Tank,1927
Dixie,Horseshoe,1927
